2025-04-04 10:50:05.799 - Detected: two_fingers, Action: right
2025-04-04 10:50:06.125 - Detected: two_fingers, Action: right
2025-04-04 10:50:06.473 - Detected: two_fingers, Action: right
2025-04-04 10:50:06.781 - Detected: two_fingers, Action: right
2025-04-04 10:50:07.112 - Detected: two_fingers, Action: right
2025-04-04 10:50:07.435 - Detected: two_fingers, Action: right
2025-04-04 10:50:07.764 - Detected: two_fingers, Action: right
2025-04-04 10:50:08.095 - Detected: two_fingers, Action: right
2025-04-04 10:50:08.424 - Detected: two_fingers, Action: right
2025-04-04 10:50:08.749 - Detected: two_fingers, Action: right
2025-04-04 10:50:09.049 - Detected: two_fingers, Action: right
2025-04-04 10:50:09.372 - Detected: two_fingers, Action: right
2025-04-04 10:50:09.699 - Detected: two_fingers, Action: right
2025-04-04 10:50:10.006 - Detected: two_fingers, Action: right
2025-04-04 10:50:10.317 - Detected: two_fingers, Action: right
2025-04-04 10:50:10.620 - Detected: two_fingers, Action: right
2025-04-04 10:50:10.942 - Detected: two_fingers, Action: right
2025-04-04 10:50:11.269 - Detected: two_fingers, Action: right
2025-04-04 10:50:11.594 - Detected: two_fingers, Action: right
2025-04-04 10:50:11.899 - Detected: two_fingers, Action: right
2025-04-04 10:50:12.209 - Detected: two_fingers, Action: right
2025-04-04 10:50:55.169 - Detected: fist, Action: down
2025-04-04 10:50:55.495 - Detected: fist, Action: down
2025-04-04 10:50:55.810 - Detected: fist, Action: down
2025-04-04 10:50:56.126 - Detected: fist, Action: down
2025-04-04 10:50:56.441 - Detected: fist, Action: down
2025-04-04 10:50:56.746 - Detected: fist, Action: down
2025-04-04 10:50:57.070 - Detected: fist, Action: down
2025-04-04 10:50:57.379 - Detected: fist, Action: down
2025-04-04 10:50:57.684 - Detected: fist, Action: down
2025-04-04 10:50:58.007 - Detected: fist, Action: down
2025-04-04 10:50:58.444 - Detected: fist, Action: down
2025-04-04 10:50:58.810 - Detected: fist, Action: down
2025-04-04 10:50:59.363 - Detected: fist, Action: down
2025-04-04 10:50:59.981 - Detected: fist, Action: down
2025-04-04 10:51:00.701 - Detected: fist, Action: down
2025-04-04 10:51:01.233 - Detected: one_finger, Action: left
2025-04-04 10:51:01.643 - Detected: one_finger, Action: left
2025-04-04 10:51:02.224 - Detected: one_finger, Action: left
2025-04-04 10:51:02.610 - Detected: one_finger, Action: left
2025-04-04 10:51:02.934 - Detected: one_finger, Action: left
2025-04-04 10:51:03.277 - Detected: fist, Action: down
2025-04-04 10:51:03.596 - Detected: fist, Action: down
2025-04-04 10:51:03.952 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:04.252 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:04.552 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:04.857 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:05.159 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:05.498 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:05.799 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:06.118 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:06.419 - Detected: one_finger, Action: left
2025-04-04 10:51:06.722 - Detected: one_finger, Action: left
2025-04-04 10:51:07.033 - Detected: one_finger, Action: left
2025-04-04 10:51:07.339 - Detected: one_finger, Action: left
2025-04-04 10:51:07.646 - Detected: one_finger, Action: left
2025-04-04 10:51:07.955 - Detected: one_finger, Action: left
2025-04-04 10:51:08.266 - Detected: one_finger, Action: left
2025-04-04 10:51:08.601 - Detected: one_finger, Action: left
2025-04-04 10:51:08.916 - Detected: one_finger, Action: left
2025-04-04 10:51:09.224 - Detected: one_finger, Action: left
2025-04-04 10:51:09.537 - Detected: one_finger, Action: left
2025-04-04 10:51:09.840 - Detected: one_finger, Action: left
2025-04-04 10:51:10.182 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:10.482 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:10.782 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:11.085 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:11.393 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:11.798 - Detected: one_finger, Action: left
2025-04-04 10:51:12.138 - Detected: one_finger, Action: left
2025-04-04 10:51:12.438 - Detected: one_finger, Action: left
2025-04-04 10:51:12.740 - Detected: one_finger, Action: left
2025-04-04 10:51:13.078 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:13.378 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:18.305 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:18.637 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:18.971 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:19.273 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:19.613 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:19.943 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:20.244 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:20.582 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:20.920 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:21.222 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:21.558 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:21.890 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:22.203 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:22.531 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:22.868 - Detected: all_fingers, Action: neutral
2025-04-04 10:51:24.095 - Detected: all_fingers, Action: neutral
